miRNA	Source	Info	Dir	Contrast
hsa-miR-548t-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-548u	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-548x-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-550a-3p	CMEP	GSE49035_REvsNoRE, GSE41526_BCvsNorm	down, up	Relaps, BC vs Norm
hsa-miR-550b-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-551a	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-551b-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-551b-5p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-552-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5571-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-558	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5582-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5583-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-5584-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, down, up	LumB vs TNBC, LumA vs TNBC, Her2 vs TNBC
hsa-miR-5584-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5586-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5588-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-5589-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-559	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-562	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-564	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5681a	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5689	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-569	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5692c	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5698	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-570-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5704	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-574-3p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-575	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-576-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-577	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-582-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up	Her2 vs TNBC, LumA vs TNBC
hsa-miR-584-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-585-3p	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-588	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-589-5p	CMEP	GSE22981_BCvsNorm, GSE58606_HER2vsTNBC	up, up	BC vs Norm, Her2 vs TNBC
hsa-miR-590-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-591	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-595	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-597-5p	CMEP	GSE41526_BCvsNorm	down	BC vs Norm
hsa-miR-598-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up	Her2 vs TNBC, LumA vs TNBC
hsa-miR-599	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-600	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-602	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-608	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-610	CMEP	GSE53179_BCvsNorm	up	BC vs Norm
hsa-miR-612	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-624-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-625-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-627-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-628-5p	CMEP	GSE68373_MEvsNoME, GSE49035_REvsNoRE	down, up	Metastasis, Relaps
hsa-miR-629-5p	CMEP	GSE41526_BCvsNorm, GSE58606_LumAvsTNBC	down, up	BC vs Norm, LumA vs TNBC
hsa-miR-629-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-634	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	down, up, down	LumA vs TNBC, Her2 vs TNBC, LumB vs TNBC
hsa-miR-636	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-638	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up	Her2 vs TNBC, LumA vs TNBC
hsa-miR-641	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-642b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-646	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-647	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-650	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-652-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-654-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-655-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-656-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-658	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	down, down	LumA vs TNBC, LumB vs TNBC
hsa-miR-661	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-663b	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-665	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-668-3p	CMEP	GSE58606_LumAvsTNBC, GSE22981_BCvsNorm	down, down	LumA vs TNBC, BC vs Norm
hsa-miR-6732-5p	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-675-3p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-676-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-7-1-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-7-2-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-708-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-744-3p	CMEP	GSE58606_HER2vsTNBC, GSE22981_BCvsNorm	up, up	Her2 vs TNBC, BC vs Norm
hsa-miR-759	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-762	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-766-3p	CMEP	GSE58606_LumAvsTNBC, GSE98181_BCvsNorm	down, down	LumA vs TNBC, BC vs Norm
hsa-miR-769-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-769-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-770-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-7855-5p	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-8075	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-873-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-874-3p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-875-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-877-3p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-888-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-889-3p	CMEP	GSE49035_REvsNoRE, GSE58606_HER2vsTNBC	up, up	Relaps, Her2 vs TNBC
hsa-miR-9-3p	CMEP	GSE58606_LumAvsTNBC, GSE49035_REvsNoRE	down, down	LumA vs TNBC, Relaps
hsa-miR-920	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-921	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-922	CMEP	GSE22981_BCvsNorm, GSE58606_LumAvsTNBC	down, down	BC vs Norm, LumA vs TNBC
hsa-miR-92a-3p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-92a-1-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-93-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up	Her2 vs TNBC, LumA vs TNBC
hsa-miR-934	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, down, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-937-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-941	CMEP	GSE49035_REvsNoRE, GSE49035_S3vsS2	down, down	Relaps, Stage3 vs Stage2
hsa-miR-95-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-98-5p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-99a-3p	CMEP	GSE68373_MEvsNoME	down	Metastasis
