miRNA	Contrast	Dir	Info	Source
hsa-let-7a-2-3p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7a-3p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7f-1-3p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-let-7f-2-3p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-miR-125a-5p	BC vs Norm	Up	MicroRNA-125a influences breast cancer stem cells by targeting leukemia inhibitory factor receptor which regulates the hippo signaling pathway.	mirCancerDB
hsa-miR-127-3p	BC vs Norm	Down	miR-127 Regulates Cell Proliferation and Senescence by Targeting BCL6.	mirCancerDB
hsa-miR-127-3p	BC vs Norm	Down	MicroRNA-127 is Downregulated by Tudor-SN Protein and Contributes to Metastasis and Proliferation in Breast Cancer Cell Line MDA-MB-231.	mirCancerDB
hsa-miR-129-5p	BC vs Norm	Down	[The down-regulation of miR-129 in breast cancer and its effect on breast cancer migration and motility].	mirCancerDB
hsa-miR-139-5p	BC vs Norm	Down	Role of miR-139 as a surrogate marker for tumor aggression in breast cancer.	mirCancerDB
hsa-miR-140-5p	BC vs Norm	Up	Examining estrogen regulation of cancer stem cells through multicolor lineage tracing.	mirCancerDB
hsa-miR-142-3p	BC vs Norm	Up	miR-142 regulates the tumorigenicity of human breast cancer stem cells through the canonical WNT signaling pathway.	mirCancerDB
hsa-miR-146b-5p	BC vs Norm	Down	STAT3 Induction of miR-146b Forms a Feedback Loop to Inhibit the NF-?B to IL-6 Signaling Axis and STAT3-Driven Cancer Phenotypes.	mirCancerDB
hsa-miR-146b-5p	BC vs Norm	Down	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.	mirCancerDB
hsa-miR-29b-1-5p	BC vs Norm	Up	microRNA-29 negatively regulates EMT regulator N-myc interactor in breast cancer.	mirCancerDB
hsa-miR-29b-3p	BC vs Norm	Up	microRNA-29 negatively regulates EMT regulator N-myc interactor in breast cancer.	mirCancerDB
hsa-miR-34c-5p	BC vs Norm	Down	Expression of miR-34c induces G2/M cell cycle arrest in breast cancer cells.	mirCancerDB
hsa-miR-34c-5p	BC vs Norm	Down	MicroRNA-34 suppresses breast cancer invasion and metastasis by directly targeting Fra-1.	mirCancerDB
hsa-miR-34c-5p	BC vs Norm	Down	The Regulation and Function of miR-21-FOXO3a-miR-34b/c Signaling in Breast Cancer.	mirCancerDB
hsa-miR-34c-5p	BC vs Norm	Down	MicroRNA-34c Suppresses Breast Cancer Migration and Invasion by Targeting GIT1.	mirCancerDB
hsa-miR-423-3p	BC vs Norm	Up	Genetic analysis and preliminary function study of miR-423 in breast cancer.	mirCancerDB
hsa-miR-455-5p	BC vs Norm	Down	miR-455 inhibits breast cancer cell proliferation through targeting CDK14.	mirCancerDB
hsa-miR-490-3p	BC vs Norm	Down	MicroRNA-490 inhibits tumorigenesis and progression in breast cancer.	mirCancerDB
hsa-miR-520c-3p	BC vs Norm	Up	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.	mirCancerDB
